,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
49,SUBS126-0127,0,-13.63832824227757,-0.0892875971362627,0.0,0.6178709353869636,4.187846580248424,-0.0577322932778194,-0.0390734154815028,-9.018704032537698,-39.0
50,SUBS126-0335,0,-14.41975334362978,0.2796184062520751,0.0,2.011135717205616,4.424586520953926,0.0,-0.1436556394315609,-7.848068338649227,-38.0
51,SUBS126-0869,0,-8.941085474501234,-1.290087198815161,0.0,0.3845558220102248,4.362301142221804,0.0,-2.584731091713917,-8.069046800798333,-36.0
52,SUBS126-0748,0,-14.51361116996777,-0.6442153612411357,0.0,3.154801299215797,6.640964551889101,-1.523535626137362,-1.701860484795041,-8.587456791036857,-34.0
53,SUBS126-0910,0,-15.42344448050572,0.1127733989907801,0.0,1.578802137120692,6.857489017335046,0.0,-1.611300103146738,-8.485680030205458,-39.0
54,SUBS126-0134,0,-17.6710018028818,-0.2076270499316502,0.0,3.300831393192903,5.976032066405787,0.0,-0.5581615659389257,-9.159926959153836,-41.0
55,SUBS126-0107,0,-19.81049596815392,-0.6309612822311202,0.0,6.167165101651062,8.752971747302762,0.0,-3.089314696607023,-8.61063509803762,-40.0
56,SUBS126-0078,0,-15.01889298706228,-1.057765461418899,0.0,1.269186214356705,6.043281127348109,0.0,-2.736301722646721,-11.50049282942291,-39.0
57,SUBS126-0745,0,-17.86360240272043,0.054996108291898,0.0,4.325397875505177,5.490096005085706,0.0,-0.2168380666399905,-8.209950480477346,-42.0
58,SUBS126-0700,0,-19.34451890374621,-0.4281679164891011,0.0,3.682697637860292,7.589832249496066,0.0,-2.322534632995703,-10.82269156587472,-41.0
59,SUBS126-0679,0,-13.17837246658964,-0.4651268057629886,0.0,1.020671866195971,5.368261194071875,0.0,-1.480520022573981,-8.73508623465841,-39.0
60,SUBS126-0984,0,-12.97482280474651,-0.740388618212894,0.0,2.935336308611841,4.598371849196064,0.0,-1.843774105215985,-8.025277370367348,-38.0
61,SUBS126-0688,0,-11.54193568208757,0.0740985809799258,0.0,0.821645401366277,1.783974276977096,0.0,-0.1193935916127849,-8.981611014376995,-41.0
62,SUBS126-0313,0,-14.88491721896207,-1.595574689852806,0.0,3.639272308837099,7.02087573767958,0.0,-4.681456406553254,-10.50180026885118,-40.0
63,SUBS126-0739,0,-15.16738639582582,-0.2450958078869314,0.0,1.608950037522482,6.740677936263637,0.0,-1.745952446018426,-8.808806675945107,-37.0
64,SUBS126-0035,0,-19.32753611844455,0.3505902393192321,0.0,5.866013164796596,5.288969535827254,0.0,-0.0709410585977814,-7.892904237099629,-42.0
65,SUBS126-0266,0,-13.88559115570643,-0.2935917185931453,0.0,1.956182040043086,4.662379848202818,0.0,-1.691329238096172,-9.251950224149368,-39.0
66,SUBS126-0214,0,-16.64754276492095,-0.3453094425960535,0.0,2.585424002485615,7.820410453189652,0.0,-1.862699971856719,-8.44971772369854,-32.0
67,SUBS126-0348,0,-10.7772142077989,-1.310356083428971,0.0,0.8536892123602229,5.070960154798558,0.0,-2.69870787448074,-8.8616287985501,-41.0
68,SUBS126-0097,0,-17.68278562552987,-0.4175381692426458,0.0,2.957280518615789,8.811566818474603,0.0,-1.792449575515928,-8.123926033198131,-41.0
69,SUBS126-0929,0,-12.16622676407169,0.0730853065558937,0.0,1.087987070486179,2.045325346982463,-0.0479565853408345,-0.1216675983978789,-9.129453223785733,-39.0
