oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
SUBS126-0603,0,-9.2998227390588,-1.20568664144724,0.0,0.4378911023210094,6.922923416686217,0.0,-4.517446489722465,-7.662141351221408,-40.0
SUBS126-0110,0,-21.27975370725107,-1.504479359884116,0.0,4.845871016947012,13.58386818625422,0.0,-4.31419681175861,-8.668690675692687,-37.0
SUBS126-0813,0,-11.11718743573001,-1.341756588314799,-0.0298628265320871,0.5380818185493809,7.941261005168189,0.0,-2.832016650216538,-6.841480677076106,-36.0
SUBS126-0701,0,-8.96454716199587,-0.1271696018446244,0.0,0.5344160828580243,1.770683656809979,0.0,0.0,-6.786617024172756,-38.0
SUBS126-0770,0,-11.72387262017655,-1.905070476546245,0.0,0.7823973720513095,8.659878806497408,0.0,-4.659548488170279,-8.846215406343617,-40.0
SUBS126-0224,0,-8.411259980585237,-0.4656662646744587,0.0,0.9879749400390664,1.91876803996779,0.0,-1.211741246687342,-7.181924511940224,-34.0
SUBS126-0305,0,-21.46496889552618,-1.477308456037159,0.0,8.558827987065797,10.9394722105762,0.0,-3.760455289125448,-7.204432443046244,-37.0
SUBS126-0570,0,-11.16603974302379,-1.535431460005441,0.0,0.8537351412406224,7.139329732827082,0.0,-2.320002472083032,-7.028408801044407,-39.0
SUBS126-0523,0,-15.35618774656396,-0.7627999264036487,0.0,1.584526336045701,8.713329274873468,0.0,-2.99002540637287,-8.81115746842147,-41.0
SUBS126-0516,0,-12.97566101160483,-1.488068598732667,-0.0219576980966905,1.129640265709759,9.312377515194884,0.0,-2.951693752824355,-6.995363280354013,-38.0
SUBS126-0307,0,-15.65685559173471,-1.492793259502379,-0.0288177947934912,1.090186130492884,9.96106513553218,0.0,-4.75816527956563,-10.88538065957118,-40.0
SUBS126-0138,0,-19.05747801908292,-1.622097438503254,0.0,3.798793664465211,10.48583678417754,0.0,-2.964822533628376,-9.359767542571715,-36.0
SUBS126-0345,0,-18.43638469508515,-1.575274663276562,-0.0383182267349127,4.762227438528135,10.11745550956693,0.0,-3.149729481082419,-8.32002411808412,-39.0
SUBS126-0642,0,-8.894475626311396,-1.373910249131982,0.0,0.8044656633229352,5.485695843201256,0.0,-3.066893297578463,-7.04511766649739,-36.0
SUBS126-0030,0,-9.415548594372012,-2.128786553594172,0.0,0.4646187366381582,7.54902145903161,0.0,-3.821839549441389,-7.352534501737637,-39.0
SUBS126-0130,0,-20.09149551432347,-0.727022147640684,-0.0037967631256151,3.247027798348154,10.5117261422753,0.0,-1.773013053149145,-8.836573537615322,-40.0
SUBS126-0842,0,-13.10612697033721,-1.238701702479568,0.0,2.038076763686877,9.241085777604848,0.0,-4.714474669101618,-7.780140800626896,-41.0
SUBS126-0717,0,-10.46365130253726,-1.649797782449738,0.0,0.3948247058819107,8.280966704640969,0.0,-3.645413587721777,-7.083071262185967,-38.0
SUBS126-0049,0,-24.6249638054629,-1.040779441721052,0.0,7.768308875828144,12.53019827056014,0.0,-3.835255665393436,-9.202491766188814,-39.0
SUBS126-0772,0,-23.99577154137624,-2.37285483464436,0.0,8.988177940768901,13.39004227557211,0.0,-4.514376375732012,-8.504782535411778,-39.0
SUBS126-0723,0,-13.26087908866539,-0.825578734852669,0.0,0.5994958618453439,7.820687202652516,0.0,-2.533899550541524,-8.20017430956159,-42.0
SUBS126-0343,0,-13.33606506179494,-3.4817036433888,0.0,1.188640281206608,12.70176464432016,0.0,-4.277100012934475,-7.204463792591469,-40.0
SUBS126-0445,0,-20.57770118991684,-0.593635221874822,0.0,3.952761134320827,13.19588856889304,0.0,-3.691820188482982,-7.714506897060801,-40.0
SUBS126-0812,0,-18.59851348524681,-0.9155234282197136,-0.0339736334010467,4.638005782211667,9.6236276066164,0.0,-3.519826447814615,-8.806203605854307,-37.0
SUBS126-0891,0,-12.8960781896043,-1.687092141950736,0.0,1.030323492922435,8.811321796144556,0.0,-3.754330170755883,-8.495855213243885,-38.0
SUBS126-0592,0,-8.688544019365144,-2.129276335637694,0.0,0.5919239855250453,6.433980147817192,0.0,-5.017089779440023,-8.809006001100443,-38.0
SUBS126-0298,0,-9.597327088838211,-1.952332837861193,0.0,0.7668446480606236,5.588921906799851,0.0,-3.84372238443352,-9.037615756273,-35.0
SUBS126-0555,0,-7.768441329171037,-2.056321612937954,0.0,0.2921855813771799,5.797901604807612,0.0,-4.452779792097983,-8.187455548021944,-35.0
SUBS126-0653,0,-20.93591063076674,-1.013313383186279,-0.0267439117456433,5.097485605611155,11.03688856923422,0.0,-1.685817566602517,-7.527411317455972,-39.0
SUBS126-0529,0,-18.25720349110816,-0.8543384180015567,0.0,2.792757960324798,10.84334681309465,0.0,-2.571250160345441,-8.04668729603577,-41.0
SUBS126-0043,0,-12.99294440572157,-0.9053771110906076,0.0,2.062543255931723,6.819899645615124,0.0,-2.132641393301479,-7.14852000856672,-39.0
